,Event,Category,Name1,Year1,Name2,Year2,Name3,Year3,Name4,Year4,School,QualifyingTime,Time,Place,Points
179, Event 4  Men 200 Yard IM,Preliminaries,"Barr, Luke",SO,,,,,,,Indiana,1:43.14,DQ,---,0
180, Event 4  Men 200 Yard IM,Preliminaries,"Savickas, Aleksas",FR,,,,,,,Florida,1:45.69,DFS,---,0
181, Event 4  Men 200 Yard IM,Preliminaries,"MacAlister, Leon",SR,,,,,,,Stanford,1:45.95,DFS,---,0
182, Event 4  Men 200 Yard IM,Preliminaries,"O'Grady, Chris",SO,,,,,,,Southern California,1:44.93,DFS,---,0
183, Event 4  Men 200 Yard IM,Preliminaries,"Bethel, Henry",SO,,,,,,,Auburn,1:45.15,DFS,---,0
184, Event 4  Men 200 Yard IM,Preliminaries,"Mikuta, Reid",JR,,,,,,,Auburn,1:42.90,DFS,---,0
185, Event 5  Men 50 Yard Freestyle,Championship Final,"Crooks, Jordan",SO,,,,,,,Tennessee,18.25,18.32,1,20
186, Event 5  Men 50 Yard Freestyle,Championship Final,"Liendo, Josh",FR,,,,,,,Florida,18.54,18.40,2,17
187, Event 5  Men 50 Yard Freestyle,Championship Final,"Seeliger, Bjorn",JR,,,,,,,California,18.46,18.67,3,16
188, Event 5  Men 50 Yard Freestyle,Championship Final,"Curry, Brooks",SR,,,,,,,LSU,18.72,18.76,4,15
189, Event 5  Men 50 Yard Freestyle,Championship Final,"Ramadan, Youssef",JR,,,,,,,Virginia Tech,18.87,18.82,5,14
190, Event 5  Men 50 Yard Freestyle,Championship Final,"Alexy, Jack",SO,,,,,,,California,18.77,18.87,6,13
191, Event 5  Men 50 Yard Freestyle,Championship Final,"Dolan, Jack",SR,,,,,,,Arizona St,18.87,19.15,7,12
192, Event 5  Men 50 Yard Freestyle,Championship Final,"Santos, Guilherme",FR,,,,,,,Tennessee,18.81,19.16,8,11
193, Event 5  Men 50 Yard Freestyle,Consolation Final,"Korstanje, Nyls",SR,,,,,,,NC State,18.94,18.74,9,9
194, Event 5  Men 50 Yard Freestyle,Consolation Final,"Henderson, Noah",SR,,,,,,,NC State,18.89,18.89,10,7
195, Event 5  Men 50 Yard Freestyle,Consolation Final,"Mathias, Van",5Y,,,,,,,Indiana,18.89,18.91,11,6
196, Event 5  Men 50 Yard Freestyle,Consolation Final,"Brownstead, Matt",JR,,,,,,,Virginia,19.03,18.92,12,5
197, Event 5  Men 50 Yard Freestyle,Consolation Final,"Bell, Liam",SR,,,,,,,California,19.04,18.96,13,4
198, Event 5  Men 50 Yard Freestyle,Consolation Final,"Curtiss, David",SO,,,,,,,NC State,18.93,19.10,14,2.50
199, Event 5  Men 50 Yard Freestyle,Consolation Final,"Gaziev, Ruslan",JR,,,,,,,Ohio St,19.00,19.10,14,2.50
200, Event 5  Men 50 Yard Freestyle,Consolation Final,"Elaraby, Abdelrahman",SR,,,,,,,Louisville,18.96,19.30,16,1
201, Event 5  Men 50 Yard Freestyle,Preliminaries,"Crooks, Jordan",SO,,,,,,,Tennessee,17.93,18.25,1,0
202, Event 5  Men 50 Yard Freestyle,Preliminaries,"Seeliger, Bjorn",JR,,,,,,,California,18.87,18.46,2,0
203, Event 5  Men 50 Yard Freestyle,Preliminaries,"Liendo, Josh",FR,,,,,,,Florida,18.35,18.54,3,0
204, Event 5  Men 50 Yard Freestyle,Preliminaries,"Curry, Brooks",SR,,,,,,,LSU,18.94,18.72,4,0
205, Event 5  Men 50 Yard Freestyle,Preliminaries,"Alexy, Jack",SO,,,,,,,California,19.13,18.77,5,0
206, Event 5  Men 50 Yard Freestyle,Preliminaries,"Santos, Guilherme",FR,,,,,,,Tennessee,18.79,18.81,6,0
207, Event 5  Men 50 Yard Freestyle,Preliminaries,"Ramadan, Youssef",JR,,,,,,,Virginia Tech,18.82,18.87,7,0
208, Event 5  Men 50 Yard Freestyle,Preliminaries,"Dolan, Jack",SR,,,,,,,Arizona St,18.86,18.87,7,0
209, Event 5  Men 50 Yard Freestyle,Preliminaries,"Henderson, Noah",SR,,,,,,,NC State,19.09,18.89,9,0
210, Event 5  Men 50 Yard Freestyle,Preliminaries,"Mathias, Van",5Y,,,,,,,Indiana,19.00,18.89,10,0
211, Event 5  Men 50 Yard Freestyle,Preliminaries,"Curtiss, David",SO,,,,,,,NC State,18.95,18.93,11,0
212, Event 5  Men 50 Yard Freestyle,Preliminaries,"Korstanje, Nyls",SR,,,,,,,NC State,19.12,18.94,12,0
213, Event 5  Men 50 Yard Freestyle,Preliminaries,"Elaraby, Abdelrahman",SR,,,,,,,Louisville,18.79,18.96,13,0
214, Event 5  Men 50 Yard Freestyle,Preliminaries,"Gaziev, Ruslan",JR,,,,,,,Ohio St,19.09,19.00,14,0
215, Event 5  Men 50 Yard Freestyle,Preliminaries,"Brownstead, Matt",JR,,,,,,,Virginia,19.14,19.03,15,0
216, Event 5  Men 50 Yard Freestyle,Preliminaries,"Bell, Liam",SR,,,,,,,California,19.41,19.04,16,0
217, Event 5  Men 50 Yard Freestyle,Preliminaries,"Kulow, Jonny",FR,,,,,,,Arizona St,19.09,19.05,17,0
218, Event 5  Men 50 Yard Freestyle,Preliminaries,"McDuff, Macguire",SO,,,,,,,Florida,18.95,19.05,18,0
219, Event 5  Men 50 Yard Freestyle,Preliminaries,"Mestre, Alberto",5Y,,,,,,,Florida,19.21,19.10,19,0
220, Event 5  Men 50 Yard Freestyle,Preliminaries,"Chaney, Adam",JR,,,,,,,Florida,18.71,19.10,19,0
221, Event 5  Men 50 Yard Freestyle,Preliminaries,"Baganha, Victor",SO,,,,,,,Penn St,19.33,19.10,19,0
222, Event 5  Men 50 Yard Freestyle,Preliminaries,"Downing, Dillon",SR,,,,,,,Georgia,19.09,19.15,22,0
223, Event 5  Men 50 Yard Freestyle,Preliminaries,"Guiliano, Chris",SO,,,,,,,Notre Dame,18.88,19.17,23,0
224, Event 5  Men 50 Yard Freestyle,Preliminaries,"Szabados, Bence",JR,,,,,,,Michigan,19.05,19.21,24,0
225, Event 5  Men 50 Yard Freestyle,Preliminaries,"Fabiani, Remi",SO,,,,,,,Cal Baptist,19.09,19.24,25,0
226, Event 5  Men 50 Yard Freestyle,Preliminaries,"Hayes, Aiden",SO,,,,,,,NC State,19.09,19.25,26,0
227, Event 5  Men 50 Yard Freestyle,Preliminaries,"Salls, Drew",FR,,,,,,,NC State,19.14,19.26,27,0
228, Event 5  Men 50 Yard Freestyle,Preliminaries,"Maurer, Luke",JR,,,,,,,Stanford,19.46,19.28,28,0
229, Event 5  Men 50 Yard Freestyle,Preliminaries,"Makinen, Kalle",FR,,,,,,,Auburn,19.20,19.29,29,0
230, Event 5  Men 50 Yard Freestyle,Preliminaries,"Miller, Luke",JR,,,,,,,NC State,19.59,19.31,30,0
231, Event 5  Men 50 Yard Freestyle,Preliminaries,"Krueger, Danny",5Y,,,,,,,Texas,19.40,19.32,31,0
232, Event 5  Men 50 Yard Freestyle,Preliminaries,"Selin, Artem",SO,,,,,,,Southern California,19.16,19.35,32,0
233, Event 5  Men 50 Yard Freestyle,Preliminaries,"Larson, Peter",SR,,,,,,,Texas,19.41,19.35,32,0
234, Event 5  Men 50 Yard Freestyle,Preliminaries,"Brooks, Finn",SO,,,,,,,Indiana,19.39,19.36,34,0
235, Event 5  Men 50 Yard Freestyle,Preliminaries,"Lamb, August",SR,,,,,,,Virginia,19.21,19.36,34,0
236, Event 5  Men 50 Yard Freestyle,Preliminaries,"Lowe, Dalton",JR,,,,,,,Louisville,19.48,19.40,36,0
237, Event 5  Men 50 Yard Freestyle,Preliminaries,"McCusker, Max",5Y,,,,,,,Arizona St,19.14,19.42,37,0
238, Event 5  Men 50 Yard Freestyle,Preliminaries,"Tirheimer, Logan",JR,,,,,,,Auburn,19.05,19.44,38,0
239, Event 5  Men 50 Yard Freestyle,Preliminaries,"Miroslaw, Rafael",SO,,,,,,,Indiana,19.46,19.44,38,0
240, Event 5  Men 50 Yard Freestyle,Preliminaries,"Samuels, Brady",SO,,,,,,,Purdue,19.58,19.46,40,0
241, Event 5  Men 50 Yard Freestyle,Preliminaries,"Aikins, Jack",SO,,,,,,,Virginia,19.32,19.50,41,0
242, Event 5  Men 50 Yard Freestyle,Preliminaries,"Sammon, Patrick",SO,,,,,,,Arizona St,19.33,19.56,42,0
243, Event 5  Men 50 Yard Freestyle,Preliminaries,"Rose, Dare",JR,,,,,,,California,19.65,19.56,42,0
244, Event 5  Men 50 Yard Freestyle,Preliminaries,"Foote, Connor",FR,,,,,,,Texas A&M,19.53,19.59,44,0
245, Event 5  Men 50 Yard Freestyle,Preliminaries,"Bybee, Cody",5Y,,,,,,,Arizona St,19.51,19.60,45,0
246, Event 5  Men 50 Yard Freestyle,Preliminaries,"Hawk, Dylan",JR,,,,,,,California,19.55,19.66,46,0
247, Event 5  Men 50 Yard Freestyle,Preliminaries,"Daleiden Ciuferri, Ralph",FR,,,,,,,Arizona,19.78,19.68,47,0
248, Event 5  Men 50 Yard Freestyle,Preliminaries,"Gures, Umitcan",SR,,,,,,,Harvard,19.36,19.74,48,0
249, Event 5  Men 50 Yard Freestyle,Preliminaries,"Gu, Rafael",FR,,,,,,,Stanford,19.53,19.74,48,0
250, Event 5  Men 50 Yard Freestyle,Preliminaries,"Dupont Cabrera, Andres",FR,,,,,,,Stanford,19.79,19.83,50,0
251, Event 5  Men 50 Yard Freestyle,Preliminaries,"Ungur, Andrei",SR,,,,,,,Utah,19.80,19.98,51,0
252, Event 5  Men 50 Yard Freestyle,Preliminaries,"Zhang, Wen",SR,,,,,,,Air Force,19.63,19.99,52,0
253, Event 5  Men 50 Yard Freestyle,Preliminaries,"Pavlidi, Arijus",SO,,,,,,,Florida St,19.77,20.07,53,0
254, Event 5  Men 50 Yard Freestyle,Preliminaries,"Chan, Will",5Y,,,,,,,Texas,19.68,DFS,---,0
255, Event 5  Men 50 Yard Freestyle,Preliminaries,"Berg, Max",JR,,,,,,,Kentucky,19.36,DFS,---,0
256, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Liendo, Josh",FR,"Chaney, Adam",JR,"Friese, Eric",SR,"McDuff, Macguire",SO,Florida,1:14.19,1:13.35,1,40
257, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Seeliger, Bjorn",JR,"Alexy, Jack",SO,"Bell, Liam",SR,"Lasco, Destin",JR,California,1:15.40,1:13.82,2,34
258, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Henderson, Noah",SR,"Korstanje, Nyls",SR,"Miller, Luke",JR,"Curtiss, David",SO,NC State,1:15.10,1:14.44,3,32
259, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Crooks, Jordan",SO,"Santos, Guilherme",FR,"Scanlon, Scott",SR,"Tarasenko, Aleksey",5Y,Tennessee,1:15.32,1:14.68,4,30
260, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Dolan, Jack",SR,"Kulow, Jonny",FR,"McCusker, Max",5Y,"House, Grant",5Y,Arizona St,1:15.30,1:15.06,5,28
261, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Brownstead, Matt",JR,"Lamb, August",SR,"Boyle, Connor",SO,"Aikins, Jack",SO,Virginia,1:15.89,1:15.26,6,26
262, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Larson, Peter",SR,"Krueger, Danny",5Y,"Corbeau, Caspar",SR,"Hobson, Luke",SO,Texas,1:16.88,1:15.58,7,24
263, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Ramadan, Youssef",JR,"Coll Marti, Carles",JR,"Dominguez Calonge, Luis",SO,"Hayon, Will",FR,Virginia Tech,1:16.15,1:15.67,8,22
264, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Mathias, Van",5Y,"Wight, Gavin",JR,"Brooks, Finn",SO,"Miroslaw, Rafael",SO,Indiana,1:16.29,1:15.83,9,18
265, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Makinen, Kalle",FR,"Tirheimer, Logan",JR,"Stoffle, Nate",SO,"Deliyiannis, Mihalis",5Y,Auburn,1:15.94,1:15.85,10,14
266, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Elaraby, Abdelrahman",SR,"Eastman, Michael",5Y,"Lowe, Dalton",JR,"Dubinin, Vlad",SR,Louisville,1:15.90,1:15.95,11,12
267, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Ercegovic, Marin",5Y,"Palmer, Tommy",FR,"Miller, Seth",JR,"Perham, Ryan",JR,Arizona,1:15.97,1:16.08,12,10
268, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Szabados, Bence",JR,"Peel, Cam",SR,"Cohen Groumi, Gal",SO,"Acin, Nikola",5Y,Michigan,1:16.60,1:16.31,13,8
269, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Minakov, Andrei",JR,"Maurer, Luke",JR,"Gu, Rafael",FR,"Affeld, Jonny",JR,Stanford,1:16.24,1:16.44,14,6
270, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Dahlgren, Jack",5Y,"Hammer, Kevin",SR,"Bochenski, Grant",SO,"Storms, Eric",5Y,Missouri,1:16.39,1:16.53,15,4
271, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Gaziev, Ruslan",JR,"Baltes, Daniel",SO,"McDonald, Mario",JR,"Ward, James",SR,Ohio St,1:16.39,1:16.66,16,2
272, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Bratanov, Koko",SR,"Foote, Connor",FR,"Nelson, Baylor",FR,"Gogulski, Ethan",SR,Texas A&M,1:16.64,1:16.70,17,0
273, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Downing, Dillon",SR,"Branzell, Reese",SO,"Hils, Zach",SR,"Dunham, Bradley",SR,Georgia,1:17.10,1:16.80,18,0
274, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Benson, Andrew",JR,"Wiegand, Ben",SO,"Torepe-Ormsby, Taiko",FR,"Newmark, Jake",JR,Wisconsin,1:16.79,1:16.85,19,0
275, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Huey, Bryson",SO,"Ratiu, George",JR,"Butler, Steven",SR,"Hemmens, Reece",5Y,UNLV,1:16.62,1:17.30,20,0
276, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Holmquist, Marcus",JR,"Linnihan, Ryan",SR,"Gures, Umitcan",SR,"Simpson, Jared",SR,Harvard,1:16.54,1:17.36,21,0
277, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Guiliano, Chris",SO,"Wilburn, Cason",SR,"Scannell, Thacher",SR,"Janton, Tommy",FR,Notre Dame,1:16.89,1:17.44,22,0
278, Event 7  Men 200 Yard Freestyle Relay,Timed Final Relay,"Korstanje, Tim",FR,"Menke, Matt",SR,"Maas, Derek",SR,"Hawke, Charlie",SO,Alabama,1:17.26,DQ,---,0
279, Event 8  Men 400 Yard IM,Championship Final,"Marchand, Leon",SO,,,,,,,Arizona St,3:34.47,3:28.82,1,20
280, Event 8  Men 400 Yard IM,Championship Final,"Gonzalez, Hugo",5Y,,,,,,,California,3:35.86,3:34.66,2,17
281, Event 8  Men 400 Yard IM,Championship Final,"Foster, Carson",JR,,,,,,,Texas,3:36.38,3:36.02,3,16
282, Event 8  Men 400 Yard IM,Championship Final,"Kos, Hubert",FR,,,,,,,Arizona St,3:36.86,3:37.00,4,15
283, Event 8  Men 400 Yard IM,Championship Final,"Louser, Jason",SR,,,,,,,California,3:38.19,3:38.69,5,14
284, Event 8  Men 400 Yard IM,Championship Final,"Grum, Ian",SR,,,,,,,Georgia,3:38.75,3:38.99,6,13
285, Event 8  Men 400 Yard IM,Championship Final,"Foster, Jake",SR,,,,,,,Texas,3:39.09,3:40.03,7,12
286, Event 8  Men 400 Yard IM,Championship Final,"Johnston, David",JR,,,,,,,Texas,3:37.90,3:40.10,8,11
287, Event 8  Men 400 Yard IM,Consolation Final,"Schlicht, David",SO,,,,,,,Arizona St,3:39.61,3:38.03,9,9
288, Event 8  Men 400 Yard IM,Consolation Final,"Nelson, Baylor",FR,,,,,,,Texas A&M,3:39.14,3:38.11,10,7
289, Event 8  Men 400 Yard IM,Consolation Final,"Laur, Mason",SO,,,,,,,Florida,3:39.60,3:40.77,11,6
290, Event 8  Men 400 Yard IM,Consolation Final,"Hoagland, Jack",SR,,,,,,,Notre Dame,3:41.67,3:40.82,12,5
291, Event 8  Men 400 Yard IM,Consolation Final,"Torok, Dominik Mark",FR,,,,,,,Wisconsin,3:41.44,3:41.35,13,4
292, Event 8  Men 400 Yard IM,Consolation Final,"Dramm, Louis",FR,,,,,,,UNC,3:40.93,3:41.45,14,3
293, Event 8  Men 400 Yard IM,Consolation Final,"Driggers, Landon",SO,,,,,,,Tennessee,3:41.23,3:42.31,15,2
294, Event 8  Men 400 Yard IM,Consolation Final,"Daigle, Jared",5Y,,,,,,,Michigan,3:40.35,3:42.40,16,1
295, Event 8  Men 400 Yard IM,Preliminaries,"Marchand, Leon",SO,,,,,,,Arizona St,3:31.57,3:34.47,1,0
296, Event 8  Men 400 Yard IM,Preliminaries,"Gonzalez, Hugo",5Y,,,,,,,California,3:37.65,3:35.86,2,0
297, Event 8  Men 400 Yard IM,Preliminaries,"Foster, Carson",JR,,,,,,,Texas,3:35.49,3:36.38,3,0
298, Event 8  Men 400 Yard IM,Preliminaries,"Kos, Hubert",FR,,,,,,,Arizona St,3:37.68,3:36.86,4,0
299, Event 8  Men 400 Yard IM,Preliminaries,"Johnston, David",JR,,,,,,,Texas,3:39.36,3:37.90,5,0
300, Event 8  Men 400 Yard IM,Preliminaries,"Louser, Jason",SR,,,,,,,California,3:37.60,3:38.19,6,0
301, Event 8  Men 400 Yard IM,Preliminaries,"Grum, Ian",SR,,,,,,,Georgia,3:40.32,3:38.75,7,0
302, Event 8  Men 400 Yard IM,Preliminaries,"Foster, Jake",SR,,,,,,,Texas,3:39.71,3:39.09,8,0
303, Event 8  Men 400 Yard IM,Preliminaries,"Nelson, Baylor",FR,,,,,,,Texas A&M,3:38.14,3:39.14,9,0
304, Event 8  Men 400 Yard IM,Preliminaries,"Laur, Mason",SO,,,,,,,Florida,3:40.18,3:39.60,10,0
305, Event 8  Men 400 Yard IM,Preliminaries,"Schlicht, David",SO,,,,,,,Arizona St,3:40.03,3:39.61,11,0
306, Event 8  Men 400 Yard IM,Preliminaries,"Daigle, Jared",5Y,,,,,,,Michigan,3:40.99,3:40.35,12,0
307, Event 8  Men 400 Yard IM,Preliminaries,"Dramm, Louis",FR,,,,,,,UNC,3:42.24,3:40.93,13,0
308, Event 8  Men 400 Yard IM,Preliminaries,"Driggers, Landon",SO,,,,,,,Tennessee,3:40.94,3:41.23,14,0
309, Event 8  Men 400 Yard IM,Preliminaries,"Torok, Dominik Mark",FR,,,,,,,Wisconsin,3:39.96,3:41.44,15,0
310, Event 8  Men 400 Yard IM,Preliminaries,"Hoagland, Jack",SR,,,,,,,Notre Dame,3:41.15,3:41.67,16,0
311, Event 8  Men 400 Yard IM,Preliminaries,"Gonzalez Pinero, Joaquin",SO,,,,,,,Florida,3:43.67,3:41.99,17,0
312, Event 8  Men 400 Yard IM,Preliminaries,"Linscheer, Gio",FR,,,,,,,Florida,3:40.90,3:42.16,18,0
313, Event 8  Men 400 Yard IM,Preliminaries,"Berlitz, Danny",JR,,,,,,,West Virginia,3:42.28,3:42.53,19,0
314, Event 8  Men 400 Yard IM,Preliminaries,"Vines, Braden",5Y,,,,,,,Texas,3:41.86,3:42.57,20,0
315, Event 8  Men 400 Yard IM,Preliminaries,"Henveaux, Lucas",5Y,,,,,,,California,3:42.67,3:42.73,21,0
316, Event 8  Men 400 Yard IM,Preliminaries,"Matheson, Daniel",SO,,,,,,,Arizona St,3:41.60,3:42.90,22,0
317, Event 8  Men 400 Yard IM,Preliminaries,"Khosla, Raunak",SR,,,,,,,Princeton,3:41.95,3:42.97,23,0
318, Event 8  Men 400 Yard IM,Preliminaries,"Fers Erzen, Anze",SR,,,,,,,Texas A&M,3:39.05,3:43.29,24,0
319, Event 8  Men 400 Yard IM,Preliminaries,"Lloyd, Owen",JR,,,,,,,NC State,3:42.16,3:43.56,25,0
320, Event 8  Men 400 Yard IM,Preliminaries,"Myburgh, Keith",5Y,,,,,,,Virginia Tech,3:42.46,3:44.46,26,0
321, Event 8  Men 400 Yard IM,Preliminaries,"Sarkany, Zalan",FR,,,,,,,Arizona St,3:45.04,3:44.56,27,0
322, Event 8  Men 400 Yard IM,Preliminaries,"Ben-Shitrit, Eitan",FR,,,,,,,Michigan,3:43.49,3:45.24,28,0
323, Event 8  Men 400 Yard IM,Preliminaries,"Mihm, Rick",JR,,,,,,,Stanford,3:44.64,3:45.29,29,0
324, Event 8  Men 400 Yard IM,Preliminaries,"Rathle, Jacques",SO,,,,,,,Auburn,3:41.74,3:45.67,30,0
325, Event 8  Men 400 Yard IM,Preliminaries,"Bried, Tommy",SO,,,,,,,Louisville,3:41.50,3:46.00,31,0
326, Event 8  Men 400 Yard IM,Preliminaries,"Feehery, Colin",SR,,,,,,,SMU,3:42.99,3:47.24,32,0
327, Event 8  Men 400 Yard IM,Preliminaries,"Edmund, Mason",FR,,,,,,,Ohio St,3:47.92,3:47.97,33,0
328, Event 8  Men 400 Yard IM,Preliminaries,"Merani, Ryan",FR,,,,,,,Kentucky,3:42.19,3:48.53,34,0
329, Event 8  Men 400 Yard IM,Preliminaries,"Schmidt, Danny",FR,,,,,,,Auburn,3:42.99,3:50.37,35,0
330, Event 8  Men 400 Yard IM,Preliminaries,"Garcia, Nicolas",SO,,,,,,,Virginia Tech,3:41.63,3:50.99,36,0
331, Event 8  Men 400 Yard IM,Preliminaries,"McInerny, Evan",JR,,,,,,,Auburn,3:47.81,DFS,---,0
332, Event 9  Men 100 Yard Butterfly,Championship Final,"Ramadan, Youssef",JR,,,,,,,Virginia Tech,44.00,43.15,1,20
333, Event 9  Men 100 Yard Butterfly,Championship Final,"Liendo, Josh",FR,,,,,,,Florida,43.80,43.40,2,17
334, Event 9  Men 100 Yard Butterfly,Championship Final,"Frankel, Tomer",JR,,,,,,,Indiana,44.26,44.04,3,16
335, Event 9  Men 100 Yard Butterfly,Championship Final,"Minakov, Andrei",JR,,,,,,,Stanford,44.17,44.27,4,15
336, Event 9  Men 100 Yard Butterfly,Championship Final,"Crooks, Jordan",SO,,,,,,,Tennessee,44.52,44.29,5,14
337, Event 9  Men 100 Yard Butterfly,Championship Final,"Hayes, Aiden",SO,,,,,,,NC State,44.40,44.35,6,13
338, Event 9  Men 100 Yard Butterfly,Championship Final,"Korstanje, Nyls",SR,,,,,,,NC State,44.56,44.86,7,12
339, Event 9  Men 100 Yard Butterfly,Championship Final,"Stokowski, Kacper",SR,,,,,,,NC State,44.65,48.27,8,11
340, Event 9  Men 100 Yard Butterfly,Consolation Final,"Burns, Brendan",SR,,,,,,,Indiana,44.79,44.60,9,9
341, Event 9  Men 100 Yard Butterfly,Consolation Final,"Rose, Dare",JR,,,,,,,California,44.86,44.75,10,7
342, Event 9  Men 100 Yard Butterfly,Consolation Final,"Bustos, Arsenio",SO,,,,,,,NC State,45.24,44.89,11,6
343, Event 9  Men 100 Yard Butterfly,Consolation Final,"Cohen Groumi, Gal",SO,,,,,,,Michigan,44.80,44.98,12,5
344, Event 9  Men 100 Yard Butterfly,Consolation Final,"Baganha, Victor",SO,,,,,,,Penn St,44.75,45.04,13,4
345, Event 9  Men 100 Yard Butterfly,Consolation Final,"Secchi, Clement",5Y,,,,,,,Missouri,44.96,45.24,14,3
346, Event 9  Men 100 Yard Butterfly,Consolation Final,"Foote, Connor",FR,,,,,,,Texas A&M,45.21,45.41,15,2
347, Event 9  Men 100 Yard Butterfly,Consolation Final,"Sequeira, Aaron",SO,,,,,,,Stanford,44.87,45.56,16,1
348, Event 9  Men 100 Yard Butterfly,Preliminaries,"Liendo, Josh",FR,,,,,,,Florida,44.11,43.80,1,0
349, Event 9  Men 100 Yard Butterfly,Preliminaries,"Ramadan, Youssef",JR,,,,,,,Virginia Tech,43.93,44.00,2,0
350, Event 9  Men 100 Yard Butterfly,Preliminaries,"Minakov, Andrei",JR,,,,,,,Stanford,44.34,44.17,3,0
351, Event 9  Men 100 Yard Butterfly,Preliminaries,"Frankel, Tomer",JR,,,,,,,Indiana,44.66,44.26,4,0
352, Event 9  Men 100 Yard Butterfly,Preliminaries,"Hayes, Aiden",SO,,,,,,,NC State,44.66,44.40,5,0
353, Event 9  Men 100 Yard Butterfly,Preliminaries,"Crooks, Jordan",SO,,,,,,,Tennessee,44.04,44.52,6,0
354, Event 9  Men 100 Yard Butterfly,Preliminaries,"Korstanje, Nyls",SR,,,,,,,NC State,44.70,44.56,7,0
355, Event 9  Men 100 Yard Butterfly,Preliminaries,"Stokowski, Kacper",SR,,,,,,,NC State,44.68,44.65,8,0
356, Event 9  Men 100 Yard Butterfly,Preliminaries,"Baganha, Victor",SO,,,,,,,Penn St,45.22,44.75,9,0
357, Event 9  Men 100 Yard Butterfly,Preliminaries,"Burns, Brendan",SR,,,,,,,Indiana,45.81,44.79,10,0
358, Event 9  Men 100 Yard Butterfly,Preliminaries,"Cohen Groumi, Gal",SO,,,,,,,Michigan,44.50,44.80,11,0
359, Event 9  Men 100 Yard Butterfly,Preliminaries,"Rose, Dare",JR,,,,,,,California,45.30,44.86,12,0
360, Event 9  Men 100 Yard Butterfly,Preliminaries,"Sequeira, Aaron",SO,,,,,,,Stanford,45.01,44.87,13,0
361, Event 9  Men 100 Yard Butterfly,Preliminaries,"Secchi, Clement",5Y,,,,,,,Missouri,45.08,44.96,14,0
362, Event 9  Men 100 Yard Butterfly,Preliminaries,"Foote, Connor",FR,,,,,,,Texas A&M,45.22,45.21,15,0
363, Event 9  Men 100 Yard Butterfly,Preliminaries,"Bustos, Arsenio",SO,,,,,,,NC State,44.97,45.24,16,0
364, Event 9  Men 100 Yard Butterfly,Preliminaries,"Gures, Umitcan",SR,,,,,,,Harvard,44.91,45.32,17,0
365, Event 9  Men 100 Yard Butterfly,Preliminaries,"Quach, Alex",SO,,,,,,,Ohio St,45.08,45.33,18,0
366, Event 9  Men 100 Yard Butterfly,Preliminaries,"Gu, Rafael",FR,,,,,,,Stanford,45.10,45.35,19,0
367, Event 9  Men 100 Yard Butterfly,Preliminaries,"Henderson, Noah",SR,,,,,,,NC State,45.57,45.38,20,0
368, Event 9  Men 100 Yard Butterfly,Preliminaries,"Lowe, Dalton",JR,,,,,,,Louisville,45.28,45.38,20,0
369, Event 9  Men 100 Yard Butterfly,Preliminaries,"Brooks, Finn",SO,,,,,,,Indiana,45.40,45.45,22,0
370, Event 9  Men 100 Yard Butterfly,Preliminaries,"Colson, Alexander",SR,,,,,,,Arizona St,45.38,45.48,23,0
371, Event 9  Men 100 Yard Butterfly,Preliminaries,"Lee, Connor",JR,,,,,,,Yale,45.52,45.53,24,0
372, Event 9  Men 100 Yard Butterfly,Preliminaries,"Connery, Tim",SO,,,,,,,Virginia,45.21,45.60,25,0
373, Event 9  Men 100 Yard Butterfly,Preliminaries,"McCusker, Max",5Y,,,,,,,Arizona St,45.01,45.63,26,0
374, Event 9  Men 100 Yard Butterfly,Preliminaries,"Jensen, Matthew",JR,,,,,,,California,45.57,45.66,27,0
375, Event 9  Men 100 Yard Butterfly,Preliminaries,"Kammann, Bjoern",SO,,,,,,,Tennessee,45.32,45.84,28,0
376, Event 9  Men 100 Yard Butterfly,Preliminaries,"Crane, Sterling",SR,,,,,,,Texas,45.61,45.84,28,0
377, Event 9  Men 100 Yard Butterfly,Preliminaries,"Bybee, Cody",5Y,,,,,,,Arizona St,45.51,45.93,30,0
